head	rel	tail	score
0	所在基因组	26425	-0.23086605966091156
0	所在基因组	727079	-0.5241658091545105
0	发生部位	575696	-0.5341730713844299
0	所在基因组	45640	-0.6790127158164978
0	发生部位	575698	-0.7586237788200378
5	所在基因组	727081	0.3719729781150818
5	所在基因组	26425	0.28864535689353943
5	所在基因组	45640	0.1332951784133911
5	所在基因组	727083	-0.18682646751403809
5	所在基因组	312573	-0.22891224920749664
10	发生部位	575697	2.772928237915039
10	发生部位	575696	2.7276782989501953
10	发生部位	195922	0.928019106388092
10	发生部位	205005	0.8934510350227356
10	发生部位	205152	0.8826712369918823
